Property_keywords,bedrooms,bathrooms,area,prices,locations,property_types,Latitude,Longitude
"Damac Hills 2 Hotel - Edge By Rotana, Monthly Rates Starting From Aed 5,999",2,3,"1,022 sqft",14000,"Edge Creekside Hotel, Riggat Al Buteen, Deira, Dubai",Hotel Apartment,25.2589953,55.32189049999999
No Commission | All Bills | Free Cleaning | Near To Jbr Walk,2,2,801 sqft,14000,"Sobha Creek Vistas Reserve Tower A, Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
Brand New Studio - Jaddaf |  Burj Khalifa View,1,2,889 sqft,14000,"1 Residences, Wasl 1, Al Kifaf, Bur Dubai, Dubai",Apartment,25.2327163,55.2954647
No Comission | All Bills | Free Cleaning | Luxury,Studio,1,478 sqft,14000,"Damac Maison Prive Tower B, DAMAC Maison Prive, Business Bay, Dubai",Apartment,25.1843104,55.2755156
Spacious Studio With Balcony Furnished -Free Dewa & Internet,Studio,1,535 sqft,14000,"DT1 Tower, Downtown Dubai, Dubai",Apartment,25.191364,55.2693392
Fully Furnished Studio For Family In Cbd International City,1,1,484 sqft,14000,"Ramada Hotel & Suites JBR, Jumeirah Beach Residence (JBR), Dubai",Hotel Apartment,25.0769441,55.1341346
Newly Furnished 1 Bed Apartment | Burj Khalifa View,1,1,770 sqft,14000,"Dubai Creek Harbour, Dubai",Apartment,25.1945448,55.3641298
Newly Furnished 1Bdr Apartment In Creek Harbour / 17 Icon Bay,1,1,923 sqft,14000,"Boulevard Central 2, Boulevard Central, Downtown Dubai, Dubai",Apartment,25.191536,55.273404
Maison Privee - Luxury Apt W/ Burj Khalifa Vw & Direct Mall Access,2,2,"1,130 sqft",14000,"Edge Creekside Hotel, Riggat Al Buteen, Deira, Dubai",Hotel Apartment,25.2589953,55.32189049999999
Striking Studio At Mesk 1 Midtown Dubai Production City By Deluxe Holiday Homes,1,1,741 sqft,14000,"Bloom Tower C, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0675496,55.203833
Best Price Ll Spacious || Premium Furnished,1,2,669 sqft,14000,"Merano Tower, Business Bay, Dubai",Apartment,25.1848281,55.2603221
High-End Luxury | Full Marina View | Bills Included,1,2,"1,034 sqft",14000,"Amna, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
Designer Furnished  | Comfort Oriented | Open Views,2,2,901 sqft,14000,"Marina Pearl, Dubai Marina, Dubai",Apartment,25.0697205,55.13422250000001
Studio | Amazing Downtown|Skyscraper View,1,1,917 sqft,14000,"AG Tower, Business Bay, Dubai",Apartment,25.1796099,55.269205
Quiet Studio W/ Balcony In Dubai Marina,Studio,1,516 sqft,14000,"Marquise Square, Business Bay, Dubai",Apartment,25.1850643,55.27587699999999
Convenience  Luxury In Downtown Community,2,2,"1,360 sqft",14000,"Duja Tower, Sheikh Zayed Road, Dubai",Apartment,25.2288653,55.2862823
No Commission | 1Br Apartment In Carson C | Damac Hills,2,2,"1,300 sqft",14000,"CARE Holiday Homes Apartments, Barsha Heights (Tecom), Dubai",Hotel Apartment,25.0929124,55.176849
Elegant Apartment Amidst Vibrant Area With Balcony,2,2,"1,100 sqft",14000,"RMT Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0617417,55.2123317
Beautiful Studio In Business Bay - Free Wi-Fi & Parking,1,2,887 sqft,14000,"The Torch, Dubai Marina, Dubai",Apartment,25.087942,55.14750000000001
Furnished Studio| Bright & Spacious| Near Metro Station,1,2,680 sqft,14000,"Paramount Tower Hotel & Residences, Business Bay, Dubai",Apartment,25.1934375,55.2654375
Elegant Apartment | Modern Furniture  | Great Location,1,2,880 sqft,14000,"17 Icon Bay, Dubai Creek Harbour, Dubai",Apartment,25.2039806,55.3457334
Superior Quality | 1 Bedroom | Affordable Living,Studio,1,691 sqft,14000,"Marquise Square, Business Bay, Dubai",Apartment,25.1850643,55.27587699999999
Summer Offer !! Hotel Room !! Without Kitchen !! Free Bills,1,1,720 sqft,14000,"Act One | Act Two Towers, Opera District, Downtown Dubai, Dubai",Apartment,25.1923154,55.2711273
No Commission | All Bills Included | Stylish Studio,2,2,"1,100 sqft",14000,"RMT Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0617417,55.2123317
Burj Khalifa View | New 1Br | Business Bay,1,1,710 sqft,14000,"Park Ridge Tower C, Park Ridge, Dubai Hills Estate, Dubai",Apartment,25.1120907,55.2488424
Deluxe | Great Location | All Bills Included,2,3,"1,400 sqft",14000,"Artesia C, Artesia, DAMAC Hills, Dubai",Apartment,25.020414,55.24472249999999
Stunning 1 Bed | Luxury | Fully Furnished,1,2,938 sqft,14000,"Burj Daman, DIFC, Dubai",Apartment,25.210917,55.282208
Walk To The Metro| Prime Location | Weekly Cleaning,1,1,625 sqft,14000,"Al Barsha 1, Al Barsha, Dubai",Hotel Apartment,25.1103799,55.1954315
"Newly Furnished, 2 Bedrooms In Orchid A, Damac Hills",2,2,967 sqft,14000,"Afnan 1, Afnan District, Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.0285128,55.1800715
Restful Studio At Sky Gardens Difc By Deluxe Holiday Homes,1,2,992 sqft,14000,"Millennium Atria, The Atria, Business Bay, Dubai",Apartment,25.1797124,55.2637703
Monthly 2990 Aed Ii Newly Furnished Studio With Balcony Ii Near Bus Stop.,1,2,755 sqft,14000,"Paramount Tower Hotel & Residences, Business Bay, Dubai",Apartment,25.1934375,55.2654375
New Building|Flexible Terms|Utilities&Wi-Fi Included,1,2,906 sqft,14000,"Burj Views Podium, Burj Views, Downtown Dubai, Dubai",Apartment,25.190671,55.281873
Blazing 1Br In Downtown Views Ii - Walking Distance From Burj Khalifa,1,1,745 sqft,14000,"Residences 16, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai",Apartment,25.1663758,55.2766574
Newly Furnished | Spacious 1 Bhk | All Bills,1,2,"1,297 sqft",14000,"8 Boulevard Walk, Mohammad Bin Rashid Boulevard, Downtown Dubai, Dubai",Apartment,25.1911669,55.2698645
Immaculate Studio At Damac Celestia By Deluxe Holiday Homes,1,1,724 sqft,14000,"Surf 1, Surf at Creek Beach, Dubai Creek Harbour, Dubai",Apartment,25.2017341,55.34895659999999
Stunning Lake View | Near Metro | Great Location,1,1,821 sqft,14000,"The Cosmopolitan, Business Bay, Dubai",Apartment,25.1831647,55.272887
Luxurious And Stunning 1Bhk | Fully Furnished | Free Dewa/Wifi,2,2,963 sqft,14000,"Marina Diamond 2, Marina Diamonds, Dubai Marina, Dubai",Apartment,25.0687372,55.13348790000001
Lagoon View | Astounding 1Br | Scenic,Studio,1,514 sqft,14000,"Elite 1 Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
Sleek Studio At Sky Gardens Difc By Deluxe Holiday Homes,Studio,1,602 sqft,14000,"Marina Gate 1, Marina Gate, Dubai Marina, Dubai",Apartment,25.0867931,55.1475512
Exclusive Deluxefully Serviced Apartment,1,2,745 sqft,14000,"The Lofts West, The Lofts, Downtown Dubai, Dubai",Apartment,25.1965476,55.2695474
Large Layout | Convenient Location | Spacious Balcony,1,1,804 sqft,14000,"The Grand, Dubai Creek Harbour, Dubai",Apartment,25.2070764,55.34289500000001
2Br | Marina Canal View | High Floor,1,1,674 sqft,14000,"Bayshore at Creek Beach, Dubai Creek Harbour, Dubai",Apartment,25.2017341,55.34895659999999
Maison Privee - Luxury Apt W/ Burj Khalifa Vw & Direct Mall Access,2,2,"1,130 sqft",14000,"Edge Creekside Hotel, Riggat Al Buteen, Deira, Dubai",Hotel Apartment,25.2589953,55.32189049999999
Cozy One Bedroom Near Park I Dubai Hills,1,1,769 sqft,14000,"Marina Diamond 6, Marina Diamonds, Dubai Marina, Dubai",Apartment,25.0807635,55.14586509999999
Close To Marina Walk | Jlt | Spacious 2Br,1,1,743 sqft,14000,"Beach Vista 1, Beach Vista, Emaar Beachfront, Dubai Harbour, Dubai",Apartment,25.0987642,55.1401943
Stylish And Cozy 1Br In Al Meydan,1,1,811 sqft,14000,"Burj Al Nujoom, Downtown Dubai, Dubai",Apartment,25.1910236,55.2822663
Exclusive Offer|| Fully Furnished One Bedroom Apartment,Studio,1,322 sqft,14000,"Occidental Al Jaddaf, Al Jaddaf, Dubai",Hotel Apartment,25.2183514,55.3228753
Bright 1Br At Sulafa Tower Dubai Marina By Deluxe Holiday Homes,1,2,"1,200 sqft",14000,"Amwaj 4, Amwaj, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0737123,55.1304986
Classy New Studio|No Commission|No Bills Included,1,1,892 sqft,14000,"Al Majara 5, Al Majara, Dubai Marina, Dubai",Apartment,25.073821,55.1368666
Maison Privee - Luxury Apt W/ Burj Khalifa Vw & Direct Mall Access,2,2,"1,130 sqft",14000,"Edge Creekside Hotel, Riggat Al Buteen, Deira, Dubai",Hotel Apartment,25.2589953,55.32189049999999
Stunning Full Sea View High Floor Two-Bedroom Apartment,1,1,726 sqft,14000,"Escan Marina Tower, Dubai Marina, Dubai",Apartment,25.0683427,55.1330463
New! Luxury Dubai Creek Balcony & View,2,2,"1,388 sqft",14000,"Al Sahab Tower 1, Al Sahab Tower, Dubai Marina, Dubai",Apartment,25.075969,55.135692
Stunning Lake View | Near Metro | Great Location,1,1,821 sqft,14000,"The Cosmopolitan, Business Bay, Dubai",Apartment,25.1831647,55.272887
Home-Like 2+1 Bhk Villa W/Garden Store Near Pool,1,1,690 sqft,14000,"Bayshore 3, Bayshore at Creek Beach, Dubai Creek Harbour, Dubai",Apartment,25.2017341,55.34895659999999
Luxurious 2Br | Sea View| Near Metro Station,1,1,674 sqft,14000,"Creekside 18 Tower A, Creekside 18, Dubai Creek Harbour, Dubai",Apartment,25.2044563,55.3451087
No Commission | Bills Inclusive | Stylish And Modern,1,2,785 sqft,14000,"Residences 15, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai",Apartment,25.1663758,55.2766574
Cozy Furnished 1Br In Dubai Marina,1,2,766 sqft,14000,"Marina View Tower B, Marina View Tower, Dubai Marina, Dubai",Apartment,25.0792439,55.1427251
Home-Like 2+1 Bhk Villa W/Garden Store Near Pool,1,1,690 sqft,14000,"Bayshore 3, Bayshore at Creek Beach, Dubai Creek Harbour, Dubai",Apartment,25.2017341,55.34895659999999
Hotel Apartment: Furnished Studio / All Bills Included / Free Cleaning,1,1,723 sqft,14000,"Marina Residence B, Marina Residence, Dubai Marina, Dubai",Apartment,25.0724878,55.1379366
No Commission | 1Br In Reva Residences | Business Bay,1,1,466 sqft,14000,"Reva Residences, Business Bay, Dubai",Apartment,25.187815,55.2833201
Budget Friendly  | Quiet Community | Well Maintained,Studio,1,624 sqft,14000,"Safeer Tower, Dubai Marina, Dubai",Apartment,25.0783206,55.1418324
Book Now!  Pleasant  1Br | Jenna Main Square 2,2,1,776 sqft,14000,"The Nook, Wasl Gate, Dubai",Apartment,25.0239416,55.1053193
Sophisticated 1 Bedroom City View In Downtown,2,3,"1,131 sqft",14000,"Edge Creekside Hotel, Riggat Al Buteen, Deira, Dubai",Apartment,25.2589953,55.32189049999999
Pleasant Studio At Sky Gardens Difc By Deluxe Holiday Homes,Studio,1,514 sqft,14000,"Elite 1 Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
Modern Beachfront 1Br Apartment,2,2,"1,270 sqft",14000,"Surf 1, Surf at Creek Beach, Dubai Creek Harbour, Dubai",Apartment,25.2017341,55.34895659999999
Infront Of Metro | Nice View L All Bills Included | Daily Cleaning,1,1,740 sqft,14000,"5242 Tower 1, 5242 Towers, Dubai Marina, Dubai",Apartment,25.0805422,55.1403426
3B+M | Scenic Burj Khalifa Views | Direct Metro Access,Studio,1,380 sqft,14000,"Farhad Azizi Residence, Dubai Healthcare City Phase 2, Al Jaddaf, Dubai",Apartment,25.2089375,55.3153125
Fully Furnished Studio Unit @ Azizi Star –Al Furjan,1,1,600 sqft,14000,"Bayshore at Creek Beach, Dubai Creek Harbour, Dubai",Apartment,25.2017341,55.34895659999999
"Luxury Sea View 2Br Apt + Maid Apartment, Bluewater Island, Dubai",1,1,"1,167 sqft",14000,"The Terraces, Sobha Hartland, Dubai",Apartment,25.1774644,55.3115957
Trendy One Bedroom Near Dubai Mall,1,1,850 sqft,14000,"Breeze 2, Breeze at Creek Beach, Dubai Creek Harbour, Dubai",Apartment,25.2017341,55.34895659999999
Maison Privee - Glamourous Apt W/ Sea Views At Five Palm,2,2,"1,030 sqft",14000,"Marina Diamond 4, Marina Diamonds, Dubai Marina, Dubai",Apartment,25.0802904,55.1453144
Newly Renovated | Modern Amenities | Family-Oriented,Studio,1,505 sqft,14000,"Palm Views West, Palm Views, Palm Jumeirah, Dubai",Apartment,25.11555,55.13518
Peaceful 2Br At Hameni Tower Jvc By Deluxe Holiday Homes,2,2,966 sqft,14000,"MAG 535, MAG 5 Boulevard, Dubai South, Dubai",Apartment,24.9512346,55.2300507
Summer Promotion | Newly Furnished | Binghatti Gate | Family-Oriented,1,1,673 sqft,14000,"Creekside 18 Tower B, Creekside 18, Dubai Creek Harbour, Dubai",Apartment,25.2041103,55.3446076
New! Spacious Studio With Breath-Taking Palm Views,1,1,680 sqft,14000,"Executive Residences 2, Executive Residences, Dubai Hills Estate, Dubai",Apartment,25.1123419,55.2480894
Lavish 2 Bedroom Apartment L Close To Metro | Free Cleaning,1,1,"1,000 sqft",14000,"DIFC, Dubai",Apartment,25.20884,55.27703229999999
Maison Privee - 2Br Sea View | 5242 Emaar 1,1,2,809 sqft,14000,"Elite 1 Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
1Bdr Apartment /Partial Sea View /Jlt,Studio,1,548 sqft,14000,"Palm Views East, Palm Views, Palm Jumeirah, Dubai",Apartment,25.1170671,55.1364276
Sophisticated 1Br With Full Marina View,1,2,800 sqft,14000,"29 Boulevard, Downtown Dubai, Dubai",Apartment,25.1918989,55.2727574
"Two Bedroom Ambassador Suite Apartment At Md Hotel By Gewan, 04 Star Property Very Close To Mashreq Metro Station.",1,2,886 sqft,14000,"1 Residences, Wasl 1, Al Kifaf, Bur Dubai, Dubai",Apartment,25.2327163,55.2954647
Stylish 2Bdr In Creek Harbor,1,2,"1,328 sqft",14000,"Lake View Tower, JLT Cluster B, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.06767,55.1388359
"Spacious Brand New 2 Bedrooms In Stella Maris , Dubai Marina",2,2,"1,228 sqft",14000,"Noor 7, Noor District, Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.0257799,55.1815045
Maison Privee - 2Br Sea View | 5242 Emaar 1,1,2,809 sqft,14000,"Elite 1 Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
"Renovated 1 Bedroom Hotel Apartments Include Dewa & Kitchenette | Dewa Inclusive ,No Deposit, Commission Free",1,2,624 sqft,14000,"Mayfair Residency, Business Bay, Dubai",Apartment,25.1818925,55.277205
Spacious Layout | Great Facilities | Ideal Location,2,3,"1,168 sqft",14000,"Glamz by Danube, Al Furjan, Dubai",Apartment,25.0332169,55.14129519999999
No Commission | Lux 6Br  Signature Villa | Modern Furnishing |,2,3,"1,500 sqft",14000,"Jumeirah Garden City, Al Satwa, Dubai",Apartment,25.222671,55.275561
Beautiful City View  |  High Floor  |  Fully Furnished  |  Free Dewa/Wifi,Studio,1,531 sqft,14000,"Elite 1 Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
3B+M | Scenic Burj Khalifa Views | Direct Metro Access,Studio,1,380 sqft,14000,"Farhad Azizi Residence, Dubai Healthcare City Phase 2, Al Jaddaf, Dubai",Apartment,25.2089375,55.3153125
Sunrise Bay Suite - 3 + 1 W/ Marina Skyline View Private Beach By Livbnb,2,3,"1,392 sqft",14000,"Rimal 4, Rimal, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0763789,55.133531
Comfortable Beachfront 2 Br In Jbr By Livbnb,1,2,960 sqft,14000,"Elite Residence, Dubai Marina, Dubai",Apartment,25.0895735,55.1478445
Perfect Stay | 3 Bhk | Large Balcony | All Inclusive,2,1,967 sqft,14000,"Lake Shore Tower, JLT Cluster Y, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0784446,55.1530864
Cozy Studio In Meydan With Balcony,1,1,471 sqft,14000,"Zada Tower, Business Bay, Dubai",Apartment,25.1844747,55.2617373
Exquisite Studio | Ready To Move In | Fully Furnished | Spacious,1,2,624 sqft,14000,"Mayfair Residency, Business Bay, Dubai",Apartment,25.1818925,55.277205
New! Spacious Studio With Breath-Taking Palm Views,1,1,680 sqft,14000,"Executive Residences 2, Executive Residences, Dubai Hills Estate, Dubai",Apartment,25.1123419,55.2480894
Maison Privee -  Ultra-Luxury Villa W/ Private Pool & Beach On Palm,1,1,764 sqft,14000,"The Royal Oceanic, Dubai Marina, Dubai",Apartment,25.0843314,55.1416791
Contemporary New 1 Br In Townsquare | Bills Included,1,2,"1,034 sqft",14000,"DAMAC Maison Majestine, Business Bay, Dubai",Apartment,25.186457,55.282055
Burj Khalifa View | New 1Br | Business Bay,1,1,710 sqft,14000,"Park Ridge Tower C, Park Ridge, Dubai Hills Estate, Dubai",Apartment,25.1120907,55.2488424
Waterfront 1Br At 52 | 42 Tower 1 Dubai Marina By Deluxe Holiday Homes,Studio,1,528 sqft,14100,"Sky Gardens DIFC, DIFC, Dubai",Apartment,25.2119098,55.28284009999999
Special Offer !! One Bedroom !! Fully Furnished !! Free Bills,Studio,1,426 sqft,14100,"The Cosmopolitan, Business Bay, Dubai",Apartment,25.1831647,55.272887
No Commissions | Spacious 7 Br W/ Private Beach & Pool | Palm Jumeirah,Studio,1,699 sqft,14200,"Rimal 4, Rimal, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0763789,55.133531
No Commissions | Spacious 7 Br W/ Private Beach & Pool | Palm Jumeirah,Studio,1,699 sqft,14200,"Rimal 4, Rimal, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0763789,55.133531
"Fully Furnished Studio In Bloom Towers, Jvc",2,2,"1,324 sqft",14230,"Paramount Tower Hotel & Residences, Business Bay, Dubai",Apartment,25.1934375,55.2654375
"Fully Furnished Studio In Bloom Towers, Jvc",2,2,"1,324 sqft",14230,"Paramount Tower Hotel & Residences, Business Bay, Dubai",Apartment,25.1934375,55.2654375
Community View | Weekly Cleaning | Bills Included,1,1,654 sqft,14270,"The Pad, Business Bay, Dubai",Apartment,25.1848061,55.2818955
No Commision ! Free Bills ! Furnished 1Bd Apartment | Utility Bills Included,1,2,882 sqft,14270,"The Bay, Business Bay, Dubai",Apartment,25.1908744,55.2909954
*No Commission* Mag 318 Studio * Summer Offer,1,2,910 sqft,14299,"Sulafa Tower, Dubai Marina, Dubai",Apartment,25.08946,55.14892769999999
*No Commission* Mag 318 Studio * Summer Offer,1,2,910 sqft,14299,"Sulafa Tower, Dubai Marina, Dubai",Apartment,25.08946,55.14892769999999
Serene Beachfront & Ain Dubai View At Address Jbr,2,3,907 sqft,14300,"Vera Residences, Business Bay, Dubai",Apartment,25.1868571,55.2829892
Serene Studio In Elite Residences 4 Sports City By Deluxe Holiday Homes,Studio,1,576 sqft,14300,"Sky Gardens DIFC, DIFC, Dubai",Apartment,25.2119098,55.28284009999999
"Sky-High: Elegant 2Br For 5, Steps From Dubai Mall",1,1,696 sqft,14300,"Binghatti Creek, Al Jaddaf, Dubai",Apartment,25.2123114,55.3191168
"No Commission ! 1Br Apartment In Fairways West Tower, The Greens",1,1,475 sqft,14300,"Vera Residences, Business Bay, Dubai",Apartment,25.1868571,55.2829892
Serviced 1 Bedroom In Bluewaters,1,1,786 sqft,14300,"Bayz by Danube, Business Bay, Dubai",Apartment,25.1808454,55.2792744
Intimate Studio At Millennium Binghatti Residence Business Bay By Deluxe Holiday Homes,Studio,1,539 sqft,14300,"Sky Gardens DIFC, DIFC, Dubai",Apartment,25.2119098,55.28284009999999
Lovely Community View | Serene Space | Bright,1,1,"1,716 sqft",14375,"Ruby, Tiara Residences, Palm Jumeirah, Dubai",Apartment,25.1159397,55.1407374
Cosy Apartment | Monthly Stays | Creek Vistas Reserve,1,1,"1,716 sqft",14375,"Ruby, Tiara Residences, Palm Jumeirah, Dubai",Apartment,25.1159397,55.1407374
No Commission |  Sleek 2Br Home W Maids Room | Near Dubai Mall,Studio,1,633 sqft,14400,"Marina Diamond 3, Marina Diamonds, Dubai Marina, Dubai",Apartment,25.0815572,55.1472431
Elegant 2 Bedrooms In Shams 4 Jbr By Deluxe Holiday Homes,2,3,"1,200 sqft",14499,"City Stay Prime Hotel Apartments, Al Barsha 1, Al Barsha, Dubai",Hotel Apartment,25.1148589,55.2038788
Burj Khalifa View | Bills Included | Flexible Terms,1,2,"1,056 sqft",14499,"Zada Tower, Business Bay, Dubai",Apartment,25.1844747,55.2617373
Cozy 1Br In Business Bay,2,2,"1,400 sqft",14499,"Rimal 3, Rimal, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0777094,55.1339787
Exclusive Offer|| Fully Furnished Three Bhk Apartment,2,2,"1,200 sqft",14499,"Al Barsha 1, Al Barsha, Dubai",Apartment,25.1103799,55.1954315
Cozy 1Br In Business Bay,2,2,"1,400 sqft",14499,"Rimal 3, Rimal, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0777094,55.1339787
